epoch,step,train_loss
0,49,0.07132232189178467
0,99,0.04045133665204048
1,149,0.050616517663002014
1,199,0.03275526314973831
2,249,0.04824519157409668
2,299,0.025754662230610847
3,349,0.04737132787704468
3,399,0.021874060854315758
4,449,0.04629379138350487
4,499,0.019439807161688805
